Cluster,W,B,Structure_ID,Pathway_ID,N_images,TS_image,E_IS (eV),E_FS (eV),E_TS (eV),E_act_fwd (eV),E_act_rev (eV),Delta_E (eV),Transferred_H,Initial_NH3_W_anchor,Final_H_anchor,Final_anchor_element,Final_anchor_rank_initial_excluding_binding_W,Transferred_H_is_closest_H_to_final_anchor_initially,d_H_anchor_initial (A),d_H_anchor_final (A),d_bindingW_anchor_initial (A),Trajectory_file
W_10_B_21,10,21,2,0,10,4,-257.390000,-258.066734,-255.819348,1.570652,2.247386,-0.676734,H2,W4,B13,B,3,no,3.841659,1.208809,2.217916,W_10_B_21_2_0_movie_contcar.xyz
W_10_B_21,10,21,4,0,10,3,-257.596000,-258.633394,-256.559838,1.036162,2.073556,-1.037394,H3,W8,B2,B,1,yes,3.424038,1.212420,2.115347,W_10_B_21_4_0_movie_contcar.xyz
W_11_B_22,11,22,0,0,10,3,-276.329000,-276.371558,-274.502378,1.826622,1.869180,-0.042558,H1,W2,B13,B,1,yes,3.653391,1.230013,2.260351,W_11_B_22_0_0_movie_contcar.xyz
W_11_B_22,11,22,1,0,10,5,-276.439000,-276.860521,-275.363396,1.075604,1.497125,-0.421521,H3,W3,B8,B,3,no,3.862939,1.210555,2.150808,W_11_B_22_1_0_movie_contcar.xyz
W_14_B_19,14,19,3,0,10,4,-288.652000,-288.890430,-287.397066,1.254934,1.493363,-0.238430,H3,W5,B9,B,2,yes,3.461279,1.227363,2.257240,W_14_B_19_3_0_movie_contcar.xyz
W_14_B_19,14,19,3,1,10,3,-288.652000,-289.104984,-287.747001,0.904999,1.357983,-0.452984,H3,W5,B10,B,1,yes,3.308934,1.220016,2.261028,W_14_B_19_3_1_movie_contcar.xyz
W_14_B_19,14,19,4,0,10,4,-288.653000,-288.993251,-287.249253,1.403747,1.743998,-0.340251,H3,W6,B18,B,1,yes,3.709818,1.372771,2.107064,W_14_B_19_4_0_movie_contcar.xyz
W_14_B_19,14,19,5,1,10,4,-288.589000,-288.588039,-287.052374,1.536626,1.535665,0.000961,H2,W7,B12,B,2,yes,3.475449,1.223236,2.284082,W_14_B_19_5_1_movie_contcar.xyz
W_16_B_19,16,19,0,0,10,3,-311.694000,-312.242006,-310.959869,0.734131,1.282136,-0.548006,H2,W2,B7,B,1,yes,3.326767,1.328230,2.176118,W_16_B_19_0_0_movie_contcar.xyz
W_16_B_19,16,19,2,0,10,4,-311.773000,-312.216277,-310.776525,0.996475,1.439752,-0.443277,H1,W4,B18,B,1,yes,3.430411,1.321854,2.155086,W_16_B_19_2_0_movie_contcar.xyz
W_16_B_19,16,19,5,0,10,3,-311.705000,-312.248533,-311.009157,0.695843,1.239375,-0.543533,H2,W7,B9,B,1,yes,3.527809,1.341081,2.173731,W_16_B_19_5_0_movie_contcar.xyz
W_16_B_19,16,19,5,1,10,4,-311.705000,-312.156953,-310.391143,1.313857,1.765810,-0.451953,H1,W7,B17,B,1,yes,3.437541,1.312412,2.235645,W_16_B_19_5_1_movie_contcar.xyz
W_16_B_19,16,19,5,2,10,3,-311.705000,-311.603457,-310.174991,1.530009,1.428466,0.101543,H3,W7,B3,B,1,yes,3.303902,1.357952,2.301881,W_16_B_19_5_2_movie_contcar.xyz
W_16_B_19,16,19,5,3,10,4,-311.705000,-311.618732,-310.257197,1.447803,1.361535,0.086268,H3,W7,B4,B,2,yes,3.467147,1.366213,2.312347,W_16_B_19_5_3_movie_contcar.xyz
W_16_B_19,16,19,6,0,10,4,-311.861000,-312.201573,-310.681562,1.179438,1.520011,-0.340573,H3,W9,B1,B,2,yes,4.144723,1.352057,2.191509,W_16_B_19_6_0_movie_contcar.xyz
W_17_B_02,17,2,0,0,10,4,-207.621000,-207.776010,-206.714281,0.906719,1.061729,-0.155010,H2,W1,B1,B,2,yes,3.820269,1.241424,2.265139,W_17_B_02_0_0_movie_contcar.xyz
W_17_B_02,17,2,1,0,10,3,-207.888000,-208.048716,-206.878005,1.009995,1.170711,-0.160716,H1,W2,B2,B,1,yes,4.025791,1.249765,2.238534,W_17_B_02_1_0_movie_contcar.xyz
W_17_B_02,17,2,1,1,10,3,-207.888000,-208.048639,-206.848430,1.039570,1.200209,-0.160639,H2,W2,B1,B,2,yes,4.040200,1.249107,2.238958,W_17_B_02_1_1_movie_contcar.xyz
W_17_B_02,17,2,2,1,10,3,-207.867000,-207.880325,-206.435872,1.431128,1.444453,-0.013325,H3,W3,B1,B,1,yes,4.099253,1.242359,2.260664,W_17_B_02_2_1_movie_contcar.xyz
W_17_B_02,17,2,7,0,10,3,-207.815000,-208.365258,-207.029719,0.785281,1.335539,-0.550258,H3,W9,W7,W,1,yes,4.001428,1.782446,2.348880,W_17_B_02_7_0_movie_contcar.xyz
W_17_B_02,17,2,7,1,10,3,-207.815000,-208.365258,-206.897773,0.917227,1.467485,-0.550258,H1,W9,W7,W,1,no,4.269533,1.782446,2.348880,W_17_B_02_7_1_movie_contcar.xyz
W_17_B_02,17,2,8,0,10,4,-207.525000,-208.022051,-206.044174,1.480826,1.977878,-0.497051,H2,W12,W12,W,0,no,2.877687,1.883475,0.000000,W_17_B_02_8_0_movie_contcar.xyz
W_17_B_14,17,14,1,3,10,4,-290.213000,-290.538811,-289.140838,1.072162,1.397974,-0.325811,H2,W3,B6,B,2,yes,4.119505,1.220145,2.292004,W_17_B_14_1_3_movie_contcar.xyz
W_17_B_14,17,14,4,0,10,2,-290.331000,-291.362078,-289.091485,1.239515,2.270593,-1.031078,H1,W6,W10,W,10,yes,6.266597,1.948130,4.227384,W_17_B_14_4_0_movie_contcar.xyz
W_17_B_14,17,14,5,0,10,4,-290.183000,-290.840970,-288.867221,1.315779,1.973748,-0.657970,H1,W8,B10,B,1,no,3.812732,1.264933,2.194232,W_17_B_14_5_0_movie_contcar.xyz
W_17_B_14,17,14,5,1,10,4,-290.183000,-290.714200,-288.755014,1.427986,1.959186,-0.531200,H3,W8,B8,B,1,yes,3.795522,1.222123,2.216474,W_17_B_14_5_1_movie_contcar.xyz
W_17_B_14,17,14,5,2,10,4,-290.183000,-290.396539,-288.888590,1.294410,1.507949,-0.213539,H3,W8,B11,B,2,yes,4.086632,1.238835,2.283296,W_17_B_14_5_2_movie_contcar.xyz
W_17_B_14,17,14,6,1,10,3,-290.047000,-290.265209,-288.630863,1.416137,1.634346,-0.218209,H1,W9,B8,B,1,yes,3.117160,1.297086,2.321652,W_17_B_14_6_1_movie_contcar.xyz
W_17_B_14,17,14,7,0,10,3,-290.184000,-290.876473,-288.729919,1.454081,2.146555,-0.692473,H3,W10,B7,B,1,yes,4.125840,1.223591,2.236346,W_17_B_14_7_0_movie_contcar.xyz
W_17_B_14,17,14,7,2,10,2,-290.184000,-290.653010,-289.529339,0.654661,1.123671,-0.469010,H1,W10,B4,B,1,yes,4.027229,1.332131,2.293492,W_17_B_14_7_2_movie_contcar.xyz
W_17_B_14,17,14,7,3,10,4,-290.184000,-290.797296,-289.355151,0.828849,1.442145,-0.613296,H3,W10,B8,B,3,no,4.387962,1.235785,2.293995,W_17_B_14_7_3_movie_contcar.xyz
W_17_B_14,17,14,8,0,10,3,-290.092000,-290.916266,-289.203770,0.888230,1.712497,-0.824266,H1,W11,B10,B,1,yes,3.374753,1.294858,2.165613,W_17_B_14_8_0_movie_contcar.xyz
W_17_B_14,17,14,10,0,10,4,-290.079000,-290.243520,-289.060766,1.018234,1.182754,-0.164520,H2,W13,B9,B,1,yes,3.745379,1.277801,2.248053,W_17_B_14_10_0_movie_contcar.xyz
W_17_B_14,17,14,10,1,10,3,-290.079000,-290.381280,-288.817076,1.261924,1.564205,-0.302280,H3,W13,B6,B,1,yes,3.846082,1.221058,2.297508,W_17_B_14_10_1_movie_contcar.xyz
W_17_B_14,17,14,10,2,10,4,-290.079000,-290.267338,-288.505309,1.573691,1.762029,-0.188338,H3,W13,B5,B,2,no,4.029362,1.217611,2.335196,W_17_B_14_10_2_movie_contcar.xyz
W_17_B_14,17,14,12,0,10,3,-290.201000,-291.167949,-289.233754,0.967246,1.934195,-0.966949,H1,W15,B10,B,1,yes,3.420206,1.232829,2.139635,W_17_B_14_12_0_movie_contcar.xyz
W_17_B_14,17,14,12,2,10,4,-290.201000,-290.789186,-288.896684,1.304316,1.892501,-0.588186,H3,W15,B11,B,1,yes,4.075234,1.480066,2.277562,W_17_B_14_12_2_movie_contcar.xyz
W_17_B_14,17,14,13,0,10,3,-290.050000,-290.852490,-288.835955,1.214045,2.016535,-0.802490,H3,W16,B10,B,1,yes,3.477495,1.303297,2.203438,W_17_B_14_13_0_movie_contcar.xyz
W_17_B_14,17,14,14,0,10,3,-290.155000,-290.722754,-289.194575,0.960425,1.528179,-0.567754,H3,W17,B2,B,2,yes,3.880190,1.219255,2.247997,W_17_B_14_14_0_movie_contcar.xyz
W_17_B_17,17,17,0,0,10,4,-309.705000,-309.826780,-307.698751,2.006249,2.128029,-0.121780,H3,W1,B1,B,1,yes,3.253463,1.227661,2.247947,W_17_B_17_0_0_movie_contcar.xyz
W_17_B_17,17,17,0,1,10,4,-309.705000,-309.654482,-308.531465,1.173535,1.123017,0.050518,H1,W1,B5,B,3,no,3.918949,1.227644,2.254485,W_17_B_17_0_1_movie_contcar.xyz
W_17_B_17,17,17,1,0,10,4,-309.275000,-309.263385,-307.554439,1.720561,1.708947,0.011615,H1,W2,B2,B,1,yes,3.385277,1.220507,2.258434,W_17_B_17_1_0_movie_contcar.xyz
W_17_B_17,17,17,2,0,10,3,-309.731000,-310.639173,-308.442624,1.288376,2.196549,-0.908173,H1,W4,B16,B,1,yes,3.721156,1.261621,2.125572,W_17_B_17_2_0_movie_contcar.xyz
W_17_B_17,17,17,2,1,10,3,-309.731000,-310.535332,-308.617402,1.113598,1.917930,-0.804332,H3,W4,B3,B,1,yes,3.645044,1.227351,2.179830,W_17_B_17_2_1_movie_contcar.xyz
W_17_B_17,17,17,3,0,10,4,-309.912000,-309.813133,-308.325880,1.586120,1.487253,0.098867,H3,W5,B1,B,1,yes,3.884630,1.227497,2.231176,W_17_B_17_3_0_movie_contcar.xyz
W_17_B_17,17,17,4,0,10,4,-309.336000,-309.046258,-307.942878,1.393122,1.103380,0.289742,H3,W6,B5,B,2,no,3.592938,1.228603,2.269054,W_17_B_17_4_0_movie_contcar.xyz
W_17_B_17,17,17,4,1,10,4,-309.336000,-309.634629,-308.681318,0.654682,0.953311,-0.298629,H3,W6,B13,B,1,no,3.142486,1.211716,2.274475,W_17_B_17_4_1_movie_contcar.xyz
W_17_B_17,17,17,4,2,10,4,-309.336000,-309.370251,-307.990308,1.345692,1.379942,-0.034251,H2,W6,B6,B,1,yes,2.823071,1.228995,2.291081,W_17_B_17_4_2_movie_contcar.xyz
W_17_B_17,17,17,5,1,10,4,-309.834000,-309.849865,-308.660245,1.173755,1.189621,-0.015865,H3,W8,B14,B,2,no,3.798644,1.220621,2.234480,W_17_B_17_5_1_movie_contcar.xyz
